text,aspect,arfs,sentiment
"I am a good manager , and UOP improved my management skills .",UOP,good manager improved,positive
UOP needs to put some more money into infrastructure even if it has to take some away from their huge advertising budget .,UOP,needs put money,negative
My graduate education at UOP has served me well thus far .,UOP,graduate education served,positive
UOP financial aid department lacks professional workers which are rude and condesending .,UOP,financial aid department,negative
"What ever the UOP lacks in interaction , it makes up for in developing discipine , leadership and planning skills .",UOP,ever lacks interaction,neutral
"Some have had good experiences and some have had bad , do n't discount UOP if you do n't know anything about it .",UOP,good experiences bad,neutral
UOP provides a solid education and forces students to develop a sound understanding of computer technologies .,UOP,provides solid education,negative
I honestly have to say that UOP is in it for the money rather than the success of their students .,UOP,honestly say money,negative
I would recommend UOP to a friend .,UOP,would recommend friend,positive
I have been a student for almost a year at UOP and I have had no problems with it .,UOP,student almost year,positive
They are all about the money at UOP .,UOP,money,negative
I am sure that people have had bad experiences at UOP but students have had bad experiences at every school .,UOP,sure people bad,negative
I really think that the topic of UOP is 50 - 50 ; it goes both ways and there will never be a wrong or a right answer .,UOP,really think topic,neutral
All undergrad degrees are about accomplishing goals and the UOP helps people achieve those goals just as much as any other school .,UOP,undergrad degrees accomplishing,positive
I will never recommend UOP to anyone .,UOP,never recommend anyone,negative
Education is what you put into it and the UOP is no different .,UOP,Education put different,neutral
I have to give UOP a four star rating .,UOP,give four star,positive
I 'm beginning the health administration at UOP and I start next week .,UOP,'m beginning health,neutral
I just finished my AA in Business / General Studies through UOP ( Axia ) .,UOP,finished AA Business,neutral
I did not apply to UOP to do group work ALL THE TIME .,UOP,apply group work,negative
You can learn a lot from UOP Online if you put in the effort .,UOP,learn lot Online,positive
I never thought a university such as UOP could be so dishonest and untrustworthy as they are .,UOP,never thought university,negative
"But be careful with UOP Online , they have really given themselves a bad reputation and no amount of 5 start postings will make up for it .",UOP,careful Online really,negative
"I have over 70 hours at "" regualr "" Universities and have found that UOP classes are just as challenging and provide the student with just as much opportunity to learn .",UOP,70 hours regualr,positive
I spent time researching and quite a few fellow employees told me the UOP was great .,UOP,spent time researching,positive
On the other hand I never felt that UOP cared about anything other than my checkbook .,UOP,hand never felt,negative
"I just recently enrolled with UOP online , this would be my first experience attending an online course .",UOP,recently enrolled online,neutral
UOP is the worst school that I have ever attended ! !,UOP,worst school ever,negative
"I am a good writer , and UOP improved my writing .",UOP,good writer improved,positive
"As UOP was NOT the only college that I 've attended , I can safely say that there were no differences between meeting my academic requirements between the universities .",UOP,college 've attended,neutral
The Etrade web site is so friendly and easy to understand there 's no way to get confused while navigating the site .,"web, site",Etrade site friendly,positive
"Once when the web site was slow , I ended up pressing "" place order "" button twice ; guess what , I purchased 200 shares instead of 100 .","web, site",site slow ended,negative
"But ever since I 've opened my account ~Jan ' 99 , their web site often states that there are problems with the server at that time .","web, site",ever since 've,negative
Their web site is poor ( they don ?,"web, site",site poor web,negative
"It has a good web site , but often times it gets bogged down with so many people trying to access at once .","web, site",good site often,positive
"Never the less , the bank offers free on - line bill pay that not only saves money , but also add convenience .",bank,Never less offers,positive
"Onelist members , now also eGroups members , have more storage space for bigger communities , 20 MB of it to share files and pictures .",eGroups,Onelist members also,positive
"the same spot ? If you 're like me and live in a fairly rural area , spots like eGroups can be a Godsend -- you wo n't find that many old time radio fans and Atari 7800 players in these parts , but I can sure connect with a lot of",eGroups,spot 're like,positive
I owe so much to eGroups and have enjoyed every moment,eGroups,owe much enjoyed,positive
"eGroups may have just started it 's stay at Yahoo , but so far in the world of mergers , I really like what they have done to keep the users happy .",eGroups,may started 's,positive
"Thanks eGroups , for helping me keep my sanity !",eGroups,Thanks helping keep,positive
She uses eGroups as a great source in her quest for tracing our family roots .,eGroups,uses great source,positive
I had selected Onelist ( which then merged with eGroups and is now named such ) back in 1998 .,eGroups,selected Onelist merged,positive
My feeling is that eGroups made a ton of money and Yahoo is happy for the increased traffic they expect as a result of people from eGroups to their silly clubs .,eGroups,feeling made ton,negative
"I use eGroups frequently , daily in fact .",eGroups,use frequently daily,positive
I first joined eGroups a few years back when it was known as Onelist and it is as easy to use now as it was then .,eGroups,first joined years,positive
eGroups has something for everyone .,eGroups,something everyone,positive
The good thing is that eGroups does not require as much information from you as most web services do .,eGroups,good thing require,positive
"Go to a Programming eGroup and ask there , you would get your answers , eGroups are one of the best ways to get help ! )",eGroups,Go Programming eGroup,positive
One of my favorite things about eGroups is the fact that it is very easy to form and moderate your own eGroup .,eGroups,One favorite things,positive
The major benefit or eGroups is that it is a competent site that ?,eGroups,major benefit competent,positive
"No matter what your list needs are , eGroups is the one to go with .",eGroups,matter list needs,positive
"By placing them there the owner of eGroups ( Yahoo currently ) is able to keep the service free for us , the end user .",eGroups,placing owner Yahoo,positive
I would recommend eGroups to everyone because there really is a group for everyone .,eGroups,would recommend everyone,positive
"The point is , if you 've got an interest , you 'll likely find a group for it at eGroups .",eGroups,point 've got,positive
"However , with each email comes a banner ad from the supporters that pay for you to use eGroups without having to pay .",eGroups,However email comes,positive
eGroups offers flexibility and freedom to come and go as you please .,eGroups,offers flexibility freedom,positive
One thing I really like a whole lot about eGroups is that you can choose what goes into your profile and whether or not it is seen by the other members of eGroups .,eGroups,One thing really,positive
"At eGroups you have a number of options when you join a list , you can chose to have every email sent right to your email address , or have a daily digest sent , or even some lists allow you to go to the lists web address and read the emails there , and even reply there .",eGroups,number options join,positive
"eGroups is a free email group service , similar to ListBot and CoolList , which is available world - wide , making it easier to join and create groups and meet great people .",eGroups,free email group,positive
I 'd definitely recommend using eGroups .,eGroups,'d definitely recommend,positive
"I tried listbot and topica , but eGroups has taken the medal in my mind .",eGroups,tried listbot topica,positive
on the East coast that I met through eGroups .,eGroups,East coast met,positive
"Any and everyone is allowed to start their own list with their own rules and topics . eGroups also allows you to post surveys , which can be a lot of fun for large active groups .",eGroups,everyone allowed start,positive
"eGroups now also offers a chat function for each list , so members of your list all have a place to go and chat if they wish .",eGroups,also offers chat,positive
I have noticed several times since being registered at eGroups that I get signed up for groups I did not request to be signed up for from an account that is not mine and I do n't know the password to .,eGroups,noticed several times,positive
I ? ve been a member of the free web service eGroups ( also known as Onelist ) since April 2000 and so far I love,eGroups,member free web,positive
We still have more meetings than are necessary but eGroups has reduced a lot of this travel .,eGroups,still meetings necessary,positive
"eGroups is a great service for people who like the interaction of chat rooms , but do n't want to spend time in a room .",eGroups,great service people,positive
"Luckily , eGroups allows you to choose to moderate individual list members , or even ban those complete freaks who do n't belong on your list .",eGroups,Luckily allows choose,positive
"If there is any misstatement of fact here , it is probably because eGroups has done a terrible job of informing listowners of what 's up .",eGroups,misstatement fact probably,negative
The new eGroups is a lot more aesthetically pleasing and makes it even easier for someone to find what they need .,eGroups,new lot aesthetically,positive
I really do love eGroups .,eGroups,really love,positive
I think eGroups could do a better job of moderating these lists .,eGroups,think could better,positive
eGroups has a feature which enables you to do so simply by entering the email addresses of those you wish to invite- up to 50 at a time .,eGroups,feature enables simply,positive
"So , no matter what your interest is , eGroups sure won ?",eGroups,matter interest sure,positive
"Well , thanks to eGroups ( Onelist at this time ) , I did n't go crazy ! ! !",eGroups,Well thanks Onelist,positive
"Now , with the eGroups service , all of those options are still available , along with tons of other options .",eGroups,service options still,positive
"So for the past few months , I 've been a member of eGroups , and I 'm enjoying every part of it !",eGroups,past months 've,positive
This eGroups thing is a fine service .,eGroups,thing fine service,positive
"Aside from the ads , everything else about eGroups is very good .",eGroups,Aside ads everything,positive
I have made many lifelong friends through eGroups and it,eGroups,made many lifelong,positive
You have three choices with eGroups as far as how to view the messages on your chosen group(s ) .,eGroups,three choices far,positive
"But then they ( eGroups ) reassures us that our listmembers wo n't have to take on Yahoo i d 's too and all can go as it always has , which is good- the notion of having to ask a few hundred people to do that is not pretty . . . but wait !",eGroups,reassures us listmembers,positive
"We owe that to eGroups , letting me form a group like that .",eGroups,owe letting form,neutral
"I will admit that eGroups is the only site of this kind that I have visited and joined , but I really ca n't imagine there being anything better than eGroups out there for this purpose .",eGroups,admit site kind,positive
I really think eGroups is a good place to get started if you are wanting to organize your on - line life .,eGroups,really think good,positive
"When I first went to eGroups and signed up , I was overwhelmed .",eGroups,first went signed,negative
"Secondly , the classes are not watered down at all .",classes,Secondly watered,negative
I must admit that I had my doubts during the first couple of classes .,classes,must admit doubts,negative
Even for DE you still have to go stand in line for an hour or so to register for your classes .,classes,Even DE still,negative
I checked on my next 3 classes and there was absolutely nothing relevant to accounting besides the importance and history .,classes,checked next 3,positive
"If anything , the classes can be extremely demanding for a working professional as myself .",classes,anything extremely demanding,positive
The Chicago / Schaumburg classes are great !,classes,Chicago Schaumburg great,positive
"The classes offer real education and learning , but to get the most out of them you have to do the work .",classes,offer real education,positive
I 'm in the MBA program at Capella and all I can say is that classes are rigurous but you learn a lot !,classes,'m MBA program,negative
"Being a military member , the online classes take away the stress of full time job and F2F classes .",classes,military member online,positive
The best i have experienced in online classes .,classes,best experienced online,positive
I feel I have been treated very well and my classes are in deed challenging .,classes,feel treated well,positive
The classes have no bearing on what you will be doing in the real world .,classes,bearing real world,negative
The classes have been challenging and I ’ve learned a lot .,classes,challenging ’ve learned,positive
To make it worse I have to take most of my core classes online .,classes,make worse take,negative
"For people who are not used to computers or Internet forums , these classes would be great .",classes,people used computers,positive
I have had classes with students who are reading at elementary school level and I was so freaking embarrassed .,classes,students reading elementary,negative
"I 'm in my second block of classes , and to be perfectly honest the classes are way way too easy .",classes,'m second block,negative
The classes I had were worthless .,classes,worthless,negative
"overall , the classes provide good information .",classes,overall provide good,positive
"The classes are great , with a relatively small number of students per class .",classes,great relatively small,positive
The first two classes were horrible .,classes,first two horrible,negative
"In the 20 + classes I 've taken so far , no matter how elementary I thought they were at the beginning , I always came away having learned something new .",classes,20 've taken,positive
"They may add a new feature here or there , but for the long term user , the constant changing can make it harder for users to keep track of the features they use .","constant, changing",may add new,negative
Overall I give CTU a B- .,CTU,Overall give,negative
"I have over all been VERY impressed with CTU , I feel where people are messed up is when they try to rely on this degree to get them a job ( putting in no effort ) , or they enroll with out ANY experience in the field .",CTU,impressed feel people,negative
"If you want a degree that is respectable in the world of online colleges , CTU is better than most , atleast CTU is a brick and motar school and has been for over 40years .",CTU,want degree respectable,positive
For most CTU is just another college they and jump from like a froh would a lilly pod .,CTU,another college jump,neutral
"Overall CTU is a good fit for most of their programs , keep in mind with the price you are paying for technology , support , and convenience of not driving your car to a place where kids are hanging out and planning Saturday ’s drinking binge .",CTU,Overall good fit,positive
The one thing I wish is that CTU had a stricter acceptance policy .,CTU,one thing wish,neutral
He earned his Bachelor 's degree from a very reputable liberal arts school with many accredidations and felt that CTU was equaly challenging with equal possetive and negative issues on the business side .,CTU,earned Bachelor 's,neutral
It seems to me that there is a very large margin of opinion about CTU .,CTU,seems large margin,neutral
CTU was on the right track but have now gone down hill .,CTU,right track gone,negative
CTU will really push you to the limit turning in assignments .,CTU,really push limit,positive
"WOW ! All the negative stuff about CTU , amazing !",CTU,WOW negative stuff,negative
Most of the people that have a problem with CTU are too lazy to focus on the work and want more down time .,CTU,people problem lazy,negative
""" I AM A PROUD INTERNATIONAL CTU STUDENT "" .",CTU,PROUD INTERNATIONAL STUDENT,positive
"Even though I work with CTU students , my employer is a federal technical contractor and explicitly does not hire employees with CTU degrees .",CTU,Even though work,negative
I attend CTU and frankly I prefer it over brick and mortar BS .,CTU,attend frankly prefer,positive
CTU helped me land the job that I have right now as Help Desk Administrator .,CTU,helped land job,positive
"With that said , you will get the sales pitch to feel warm and fuzzy about enrolling , however college has become big business and CTU is no different .",CTU,said get sales,neutral
"Does that mean they are crooks , no ! CTU has a different pitch than your normal brick and motar , Brick and motar concern themsleves less with the student and more with the parents wallet .",CTU,mean crooks different,negative
CTU was still trying to get me to take 101 .,CTU,still trying get,negative
I love CTU and will continue from there all the way to my masters .,CTU,love continue way,positive
I love CTU and it has to have thousands of people joining for a reason everyone is n't dumb .,CTU,love thousands people,positive
All you have submitted are accusations that have not went forth to determine CTU as an unfit educational institution .,CTU,submitted accusations went,neutral
"As a CTU grad , I can say that CTU is on par with any traditional school in the country .",CTU,grad say par,positive
The thing about CTU that people do not understand is that their course are degree specfic .,CTU,thing people understand,neutral
"CTU has a north central regional accreditation , but I suppose you know better that the accreditation board ?",CTU,north central regional,positive
I ’m now approaching the end of my MBA program with CTU .,CTU,’m approaching end,neutral
"CTU is a good school , that 's easy , accredited and fairly affordable .",CTU,good school 's,positive
Yet another coworker completed a CTU software engineering masters and has almost no understanding of computers beyond that of a typical computer user .,CTU,Yet another coworker,negative
I found CTU as a great alternative .,CTU,found great alternative,positive
I too experienced CTU as an instructor for one and only one semester .,CTU,experienced instructor one,positive
I attend CTU and it is an excellent school .,CTU,attend excellent school,positive
Two out of the three colleges that I went to said that they would accept the credits that I earned at CTU online .,CTU,Two three colleges,positive
I think CTU is great !,CTU,think great,positive
"I have learned so much , and I apply it to my every day job with the US Government . . which by the way has actually recommended CTU as a school . . .",CTU,learned much apply,positive
"In fact , because my husband is a professor , I was given nearly a full scholarship from CTU .",CTU,fact husband professor,positive
"This is a very challenging , demanding , and well paying position that he would not have gotten without his degree from CTU .",CTU,challenging demanding well,positive
"CTU is part business , part college , as is any university .",CTU,part business part,neutral
I am a current CTU international student .,CTU,current international student,neutral
"The text books have been good but again , some better than others .","text, books",books good better,positive
I made so many good friends on this list !,list,made many good,positive
"Setting up a list was easy , and I remember being gleeful about the whole idea of having an email list all my own .",list,Setting easy remember,positive
"You can get a good list of detailed account activity ( and change whatsoever that happens in your account ) , and you can get a shot of your realized and unrealized profit and loss .",list,get good detailed,positive
I was also surprised by how easy it was to start my own list .,list,also surprised easy,positive
I started out on a list for 1995 Children ( children born in the year 1995 ) and it was a wonderful way to share ideas and just chat with other women .,list,started 1995 Children,positive
eGroups / Onelist claims over a hundred refinements to their system and here are some of them .,"eGroups, /, Onelist",Onelist claims hundred,positive
eGroups / Onelist is a fantastic way to meet new people with common interests .,"eGroups, /, Onelist",Onelist fantastic way,positive
"I 've been using eGroups / Onelist for almost two years now , and I have had very few problems with their services .","eGroups, /, Onelist",'ve using Onelist,positive
"I contacted technical support , and really received no help whatsoever .","technical, support",contacted support really,negative
"I 've used their technical support once or twice , and they have been responsive and helpful , and got a list back up and running within a couple of hours .","technical, support",'ve used support,positive
I finally got hit with this inactivity fee ( I had ~$9940 in my account ) .,"inactivity, fee",finally got hit,negative
I took accounting and was lost through out most of the course because I found it difficult to teach it to myself .,course,took accounting lost,negative
"Every single course I took was challenging and educational ( I took four years worth of courses , having changed my focus throughout that time ) .",course,Every single took,positive
The Pros : the course sequence in my masters was well - planned .,course,Pros sequence masters,positive
There is barely a time throughout each course in which you feel you can just slow down ; be thankful for your two - week break between each course !,course,barely time throughout,neutral
I ’m very pleased with the course .,course,’m pleased,positive
Most of the course I have taken were well structured and facilitated learning .,course,taken well structured,positive
Often you have no idea what your final grade is for a course because of these pitfalls until well into the next semester .,course,Often idea final,neutral
I will wait and see what classes they accept and if not enough i will not sign up for classes but so far I have had a very positive experience .,experience,wait see classes,positive
The experience is a joke .,experience,joke,negative
I am finding the experience very worthwhile and rigorous .,experience,finding worthwhile rigorous,positive
I 've had a great experience so far .,experience,'ve great far,positive
"This , as you can guess , certainly made my E*TRADE experience much more pleasurable .",experience,guess certainly made,positive
"However , my experience thus far has been less than satisfactory .",experience,However thus far,negative
I have had nothing but good experience with them .,experience,nothing good,positive
My experience so far has been positive .,experience,far positive,positive
My experience has been a very positive one and I hope it stays that way .,experience,positive one hope,positive
"I have only had one bad experience with them , which is actually a pretty funny story .",experience,one bad actually,negative
"I know you ca n't please everyone , but I have had nothing but a pleasant experience .",experience,know ca n't,positive
Email messages were short and non - personal ( the type of emails people send you when they are busy and don ?,Email,messages short non,positive
"Talking to other E*Trade users , their customer support has apparently improved over the last few months .","customer, support",Talking E*Trade users,positive
And the customer support is sub - par .,"customer, support",support sub par,negative
Their customer support is second to none and they are constantly working to upgrade and improve the services they provide .,"customer, support",support second none,positive
"UMUC was much better 3 or 4 year ago , but those people have moved on to better lives , better jobs , or whatever .",UMUC,much better 3,positive
Anyone can teach anything at UMUC seems to be the policy .,UMUC,Anyone teach anything,neutral
"So , enroll at UMUC and have your personal identification information published ONLINE at umuc.blogspot.com",UMUC,enroll personal identification,negative
"UMUC should be blacklisted from US installations and banned from taxayer contracts handed out by the Department of Defense and the US Army , until it ceases its relationship with Household International .",UMUC,blacklisted US installations,negative
There are numerous complaints lately that UMUC is tapping teachers to teach courses outside their area of expertise and without a credential in the assigned field .,UMUC,numerous complaints lately,negative
I have not experienced any major problems with UMUC .,UMUC,experienced major problems,positive
UMUC brags how they cut breaks financially for military .,UMUC,brags cut breaks,negative
"It looks like UMUC could use a housecleaner for ineffective workers , and get in touch with the students who have posted their suggestions .",UMUC,looks like could,neutral
My Master 's in Information Technology at UMUC stings as one of the great bad investments of my life .,UMUC,Master 's Information,negative
There were n't many upper level F2F courses offered by UMUC in our location .,UMUC,n't many upper,negative
UMUC should be ashamed of themselves for even calling themselves a university .,UMUC,ashamed even calling,negative
"It looks again like UMUC will do anything for money , even profiteering off soldiers serving in Iraq and Afghanistan .",UMUC,looks like anything,negative
Have noticed some others here are giving UMUC 4 or 5 stars - Do n't believe them : This is a case of the Emperor 's New Clothes if ever there was one !,UMUC,noticed others giving,negative
UMUC saves money by assigning 3 or 4 subjects to one teacher .,UMUC,saves money assigning,negative
"UMUC seems to have disregarded this information , took the $ 2 million , and turned the other way .",UMUC,seems disregarded information,negative
"As colleges go , sorry UMUC just does n't rate very well .",UMUC,colleges go sorry,negative
I guess what I find most depressing is the thought of people pursuing their undergraduate degrees at UMUC .,UMUC,guess find depressing,negative
There are mixed reviews from students that have attended UMUC .,UMUC,mixed reviews students,neutral
That UMUC is accredited raises some serious questions about the state of academia and the trend towards distance education .,UMUC,accredited raises serious,negative
"I also do n't like the fact that UMUC assigns instructors across multiple fiel;ds , outisde their departments to teach courses .",UMUC,also n't like,negative
"It is unconscionable that UMUC is supposed to provide higher education to military personnel and , at the same time , is in partnership with a predatory lender that often mishandles payments , records , and disregards the law .",UMUC,unconscionable supposed provide,negative
"I have little good to say about the administration here in IL as opposed to OH , but that is the trade - off .",administration,little good say,negative
Four or five of us managed to overcome the anonymity of our chat rooms to take action : a formal letter to the administration which went totally unanswered .,administration,Four five us,negative
"There are slight quirks in the interface - such as when you are in the portfolio section , the only way to get to the trading screen is to select to buy / sell one of your holdings - or you have to go to the investing root node - you ca n't get right to a trading screen or the open orders screen .",interface,slight quirks portfolio,negative
They have so much built into one interface that it 's nearly impossible to navigate .,interface,much built one,negative
The administration interface is very user friendly and ease .,interface,administration user friendly,positive
"It is very easy to use , and has a nice interface .",interface,easy use nice,positive
The trading interface is good and easy to understand .,interface,trading good easy,positive
"Unlike Ameritrade , the money invested in e*trade is not insured and theoretically it could disappear if something happens to the company .",e*trade,Unlike Ameritrade money,negative
Ameritrade and Datek were also considered but e*trade somehow attracted me more despite their slightly higher trading commission ( $ 14.95 to $ 19.95 per trade ) than the rock bottom fees Ameritrade and Datek charge .,e*trade,Ameritrade Datek also,neutral
I had to ' marry ' each of these eGroup accounts with a Yahoo !,Yahoo,marry eGroup accounts,negative
"Even though Yahoo has had a full year to work out the kinks , it still is n't unusual to receive a message a full day after it 's posted .",Yahoo,Even though full,negative
"Then , Yahoo put us in the Adult Category , without warning , blocking two of our users who were only 17 .",Yahoo,put us Adult,negative
The major problem one might have with Egroups is that it is owned by Yahoo !,Yahoo,major problem one,negative
Yahoo has acquired eGroups and I am probably going to leave it and move my list .,Yahoo,acquired eGroups probably,negative
The only Disadvanatage about all that is that eGroups is now owned by Yahoo !,Yahoo,Disadvanatage eGroups owned,positive
Great follow up on finding employment opportunities .,"employment, opportunities",Great follow finding,positive
If is very easy on the eyes and easy to identify the navigation system .,"navigation, system",easy eyes easy,positive
Trades are also not executed quickly .,Trades,also executed quickly,neutral
"Trades are executed quickly , and I have always had exactly the right amount of shares traded at the exact price I wanted .",Trades,executed quickly always,positive
"I took on UoP knowing full well the work load would be heavy , but it was going to be well worth it for accomplishing my goals .",UoP,took knowing full,positive
"What the UoP offers to career adults , with the promise of flexible education , is great .",UoP,offers career adults,positive
"I am currently a student at UoP , and for every post on here there are some truth to them .",UoP,currently student every,neutral
So to all the nay sayers .. it is not Yale or Columbia ... it is UoP and it has a place .,UoP,nay sayers ..,neutral
I would recommend UoP to anyone who needs to get a degree from home .,UoP,would recommend anyone,positive
I would just like to say that I am just now enrolling to the UoP and I am most excited .,UoP,would like say,positive
"I am going into the education field , and I am grateful for the UoP for offering a program that will allow me to teach , raise my child , AND get a Masters .",UoP,going education field,positive
I have applied for jobs as a student of UoP and gotten calls and interviews .,UoP,applied jobs student,neutral
UoP has to clean up its act and stop admitting everybody and their grand mama .,UoP,clean act stop,negative
"I know tough , and UoP asks for plenty from its students .",UoP,know tough asks,negative
"I just started taking courses toward an MBA Degree at UoP , and I have to say I 'm already disappointed .",UoP,started taking courses,negative
UoP sucks ! ! ! ! !,UoP,sucks,negative
I did a lot of research before enrolling and UoP seemed to be the only thing that was going to work for me .,UoP,lot research enrolling,positive
"Though I have not taken a class with UoP , I have rated it a 5 star because I think it 's providing students like myself with a great opportunity to further their education without compromising their careers or family lives .",UoP,Though taken class,positive
Iam speaking from experience here and UoP has helped me in my career and you do learn new things .,UoP,Iam speaking experience,positive
"I , too was a little leery of UoP because of its reputation .",UoP,little leery reputation,negative
Its now been 5 years since I graduated from UoP and I have to say it has help me get promoted .,UoP,5 years since,positive
I am a year away from completing my BS in Human Service Management and will continue on to my Masters in Psychology - all at UoP .,UoP,year away completing,positive
I have finished 11 of my 15 MBA classes at UoP and I have a 3.85 GPA .,UoP,finished 11 15,positive
"I was enrolled at my local community college for one semester , and decided to transfer to UoP because it would be more convenient .",UoP,enrolled local community,positive
UoP is a departure from tradition and people are always scared of change .,UoP,departure tradition people,neutral
"The more I searched , I realized that UoP was the only thing that was going to work with my current situation .",UoP,searched realized thing,positive
"My biggest problem with UOP is not the staff , quality of education or price , it is the fact that they have turned the degree that I have worked so hard for into an almost embarrassment for me to admit to .",degree,biggest problem UOP,negative
I do believe that majority of the time you get what you put into the degree .,degree,believe majority time,neutral
Not to shabby for an online degree .,degree,shabby online,positive
A lot of work for a worthless degree is not my idea of value .,degree,lot work worthless,negative
"-but , I mean , is that even a real degree ?",degree,mean even real,negative
An online degree takes dedication and self motivation .,degree,online takes dedication,neutral
I will earn my degree and only end up paying a little over a thousand dollars .,degree,earn end paying,positive
Financial Aid was available and was not difficult to obtain as long as you were diligent in submitting the required paperwork and followed up with your counselor .,Aid,Financial available difficult,positive
"The parent company of CTU Online is Career EDU Corp , a for - profit company .","CTU, Online",parent company Online,negative
"I read some poor reviews of CTU Online , and one that connected them with "" American InterContinental University "" which I confirmed ( via multiple websites ) is on probation .","CTU, Online",read poor reviews,negative
I am enrolled at CTU Online in thier Masters of Science / Management program .,"CTU, Online",enrolled Online thier,neutral
I 've been attending CTU Online for 8 months and never had a mishap or complaint about it .,"CTU, Online",'ve attending Online,positive
My little group of students and extended family really enjoyed eCircles while we were small .,eCircles,little group students,positive
"In closing , eCircles is a great place to keep group communications .",eCircles,closing great place,positive
"After many years if trying to keep up with family . . birthdays . . . and all that other good stuff ; - ) I found a perfect way to manage events , and such . eCircles provides a great selection of resources !",eCircles,many years trying,positive
"There are other features including in eCircles like games , wish list , and other items , but they are not significant to me .",eCircles,features including like,neutral
"eCircles is easy to join , easy to navigate , and is always adding new features .",eCircles,easy join easy,positive
"I have been nothing but pleased with eCircles and thank goodness , now my family can all communicate and not have someone left out in the dark when we decide to change Christmas to the week before .",eCircles,nothing pleased thank,positive
"eCircles also offers voice chat , file sharing , lists ( great for birthday wish lists ) , and other features that I have n't used as much .",eCircles,also offers voice,positive
"If you have a Web page already , eCircles can be a fun addition to it .",eCircles,Web page already,positive
"Selected in June 1999 by PC World as the "" Best Online Community Site , "" eCircles has quickly become one of my favorite sites and an indispensable tool for personal Web site development .",eCircles,Selected June 1999,positive
A fun part of eCircles is choosing the character that represents you .,eCircles,fun part choosing,positive
"If you are looking for a place to keep in touch with far away relatives , friends , business associates , or pc pen - pals , eCircles is the place to go !",eCircles,looking place keep,positive
"Well , I was lucky , because eCircles is great .",eCircles,Well lucky great,positive
"In many of the other community pages , you have a white screen with links all over the page . eCircles seems to organize the topics better which makes it a better system .",eCircles,many community pages,positive
"Speaking of events , eCircles is a great way to inform people of what is going on and even for invitations !",eCircles,Speaking events great,positive
"At first I did n't know about eCircles , but after I set up my circle , it was very easy to upload pictures of my new baby boy .",eCircles,first n't know,positive
eCircles is a flexible community service that allows you to stay in touch with friends and family .,eCircles,flexible community service,positive
"For discussions that do n't really fit into announcements , eCircles offers Discussions ( man , they 're good ) .",eCircles,discussions n't really,positive
"All you have to do is sign up ... it is FREE ... list the e - mail addresses of whomever you wish to invite to join your circle , and eCircles does the rest .",eCircles,sign ... FREE,positive
"While none of the features are earth - shattering , eCircles does provided a great place to keep in touch .",eCircles,none features earth,positive
I really like using eCircles for a variety of tasks .,eCircles,really like using,positive
I give eCircles four out of five circles .,eCircles,give four five,positive
eCircles is a great way to communicate with many different people at one time .,eCircles,great way communicate,positive
eCircles offers a variety of neat features that enhance your groups communication .,eCircles,offers variety neat,positive
"Email response is good , but it 's still about a day 's wait .","Email, response",response good 's,positive
"I see Etrade stepping out in the next few years as the dominant internet broker , as long as they continue to better their site and ask their customers what they want .",Etrade,see stepping next,positive
Etrade seemed like a great choice for an online broker .,Etrade,seemed like great,positive
Etrade is now one of the more expensive places to trade .,Etrade,one expensive places,negative
"I have heard of delayed or failed executions from other services , but fortunately have not experienced it with Etrade .",Etrade,heard delayed failed,positive
One thing that I like a lot is that Etrade does n't get on my back regarding margin requirments .,Etrade,One thing like,positive
I have and can attest by my account that Etrade is better .,Etrade,attest account better,positive
"Any time there 's major action in the market , getting online is a nightmare through Etrade .",Etrade,time 's major,negative
Other sites might be a little quicker to ask you to liquidate or put mor money in but Etrade has been very good with that .,Etrade,sites might little,positive
I would recommend Etrade to anyone that is looking for an online broker .,Etrade,would recommend anyone,positive
Etrade has successfully integrated other companies products and services into their sites .,Etrade,successfully integrated companies,positive
"Other than that , I have n't had a problem with Etrade .",Etrade,n't problem,neutral
"After several back - and - forth calls between Etrade and my new brokerage firm , I got really frustrated .",Etrade,several back forth,negative
Here are a number of negative incidences I have had using Etrade .,Etrade,number negative incidences,negative
Lack of active after hours trading : Etrade has almost no liquidity for most secondary issues during after hours trading .,Etrade,Lack active hours,negative
"One constant is that Etrade has been slow loading , ( which is why I 've wanted to get DSL )",Etrade,One constant slow,negative
"Etrade in my opinion clearly distinguishes itself from other online brokers such as Ameritrade , Scottrade or Suretrade because of its commitments to serious investors and its wide sources of information for the average investor .",Etrade,opinion clearly distinguishes,positive
"Yet another bad incident : I had 400 shares of Ubid and placed Good - Till - Canceled sell order at 34 5/8 , and Etrade did not execute the order even though the high of the day was 35 .",Etrade,Yet another bad,negative
"Etrade "" loaned "" me the money to buy the shares even though I did not enable margin ; of course I was happy to get about 300 "" free "" shares .",Etrade,loaned money buy,positive
"After having done this about 50 times , I have found that Etrade executes its orders much faster than Datek .",Etrade,done 50 times,positive
prior to spring 2000 this is what i thought : Etrade is great for access to IPOs .,Etrade,prior spring 2000,positive
"In searching for a financial service , I wanted one with a variety of services and Etrade has it all : insurance , home mortgage , banking , credit cards , and brokerage .",Etrade,searching financial service,positive
I had originally joined Etrade because it was the best and first broker to really go online .,Etrade,originally joined best,positive
Etrade makes that argument more compelling .,Etrade,makes argument compelling,negative
"In my opinion , Etrade should move to the head of the class .",Etrade,opinion move head,positive
You can get discounts on a lot of things for becoming an Etrade customer including frequent flyer miles and PCs .,Etrade,get discounts lot,positive
